# format: RSF_I_INTERRUPTION_DE_SEJOUR-PSY
# annee: 2026
# source: formats_psy_2026_0.xlsx
nom;debut;longueur;libelle
TYPE_D_ENREGISTREMENT;1;1;Type d'enregistrement
NUMERO_FINESS_D_INSCRIPTION_EPMSI;2;9;Numéro FINESS d’inscription ePMSI
FILLER;11;9;Filler
NUMERO_D_ENTREE;20;9;Numéro d'entrée
N_IMMATRICULATION_ASSURE;29;13;N° immatriculation assuré
CLE_DU_N_IMMATRICULATION;42;2;Clé du n° immatriculation
RANG_DE_BENEFICIAIRE;44;3;Rang de bénéficiaire
N_DE_FACTURE;47;9;N° de facture
N_IMMATRICULATION_INDIVIDUEL;56;13;N° immatriculation individuel
CLE_DU_N_IMMATRICULATION_INDIVIDUEL;69;2;Clé du n° immatriculation individuel
DATE_DE_DEBUT_DE_SEJOUR;71;8;Date de début de séjour
DATE_DE_FIN_DE_SEJOUR;79;8;Date de fin de séjour
NATURE_D_INTERRUPTION_OU_DE_FIN_DE_SEJOU;87;1;Nature d'interruption ou de fin de séjour
ETABLISSEMENT_DE_TRANSFERT_OU_DE_RETOUR;88;14;Etablissement de transfert ou de retour ou lieu d'exécution de l'acte
