# format: RSF_M_CCAM-PSY
# annee: 2026
# source: formats_psy_2026_0.xlsx
nom;debut;longueur;libelle
TYPE_D_ENREGISTREMENT;1;1;Type d'enregistrement
NUMERO_FINESS_D_INSCRIPTION_EPMSI;2;9;Numéro FINESS d’inscription ePMSI
FILLER;11;9;Filler
NUMERO_D_ENTREE;20;9;Numéro d'entrée
N_IMMATRICULATION_ASSURE;29;13;N° immatriculation assuré
CLE_DU_N_IMMATRICULATION;42;2;Clé du n° immatriculation
RANG_DE_BENEFICIAIRE;44;3;Rang de bénéficiaire
N_FACTURE;47;9;N° facture
N_IMMATRICULATION_INDIVIDUEL;56;13;N° immatriculation individuel
CLE_DU_N_IMMATRICULATION_INDIVIDUEL;69;2;Clé du n° immatriculation individuel
MODE_DE_TRAITEMENT;71;2;Mode de traitement
DISCIPLINE_DE_PRESTATION_EX_DMT;73;3;Discipline de prestation (ex DMT)
DATE_DE_L_ACTE;76;8;Date de l'acte
CODE_CCAM;84;13;Code CCAM
EXTENSION_DOCUMENTAIRE;97;1;Extension documentaire
ACTIVITE;98;1;Activité
PHASE;99;1;Phase
MODIFICATEUR_1;100;1;Modificateur 1
MODIFICATEUR_2;101;1;Modificateur 2
MODIFICATEUR_3;102;1;Modificateur 3
MODIFICATEUR_4;103;1;Modificateur 4
ASSOCIATION_NON_PREVUE;104;1;Association non prévue
CODE_REMB_EXCEPTIONNEL;105;1;Code remb exceptionnel
N_DENT_1;106;2;N° dent 1
N_DENT_2;108;2;N° dent 2
N_DENT_3;110;2;N° dent 3
N_DENT_4;112;2;N° dent 4
N_DENT_5;114;2;N° dent 5
N_DENT_6;116;2;N° dent 6
N_DENT_7;118;2;N° dent 7
N_DENT_8;120;2;N° dent 8
N_DENT_9;122;2;N° dent 9
N_DENT_10;124;2;N° dent 10
N_DENT_11;126;2;N° dent 11
N_DENT_12;128;2;N° dent 12
N_DENT_13;130;2;N° dent 13
N_DENT_14;132;2;N° dent 14
N_DENT_15;134;2;N° dent 15
N_DENT_16;136;2;N° dent 16
